uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,mentally_unhealthy_days,excessive_drinking,teen_birth_rate,uninsured,grad_rate,some_college,unemployed,children_in_poverty,single_parent_households,pcp_rate
126,180651001136,Martinsville West Middle,1806510.0,M S D Martinsville Schools,3/25/2011,2010-2011,2011,7:00 AM,Friday,Martinsville,Indiana,public,584,0,1,1,targeted,15.0,m,w,former student (expelled),0.0,,,,,,,,555.0,0.0,13.0,2.0,2.0,0.0,12.0,0,9mm handgun,friend's home,39.420621000000004,-86.427053,38.97,6,8,354.0,Morgan County,18,18109,31.0,3.5,19.2,42.4,13.8,70.0,49.0,8.9,14.6,24.9,45.083122006
127,120144003884,Sheeler Charter High School,1201440.0,Orange,4/13/2011,2010-2011,2011,12:00 PM,Wednesday,Apopka,Florida,public,465,0,1,1,accidental,17.0,m,b,,0.0,,,,,,,,104.0,250.0,101.0,2.0,1.0,0.0,7.0,1,,,28.673157,-81.494124,7.0,9,12,183.0,Orange County,12,12065,21.0,3.1,7.6,59.0,25.4,35.0,44.8,8.1,22.9,44.3,21.456157917
128,482364002572,Ross Elementary School,4823640.0,Houston ISD,4/19/2011,2010-2011,2011,10:20 AM,Tuesday,Houston,Texas,public,462,0,2,2,accidental,6.0,m,,student,0.0,,,,,,,,1.0,301.0,145.0,2.0,9.0,1.0,3.0,0,.380-caliber semiautomatic handgun,"mother's friend, home shooter was staying",29.800326000000002,-95.341835,27.32,PK,5,263.0,Harris County,48,48201,11.0,3.0,17.6,63.7,35.9,65.0,52.3,7.6,22.6,32.9,84.10788117
129,370001100402,Cape Fear High School,3700011.0,Cumberland County Schools,10/24/2011,2011-2012,2011,1:00 PM,Monday,Fayetteville,North Carolina,public,1575,0,1,1,targeted,15.0,m,,student,0.0,,,,,,,,913.0,437.0,83.0,9.0,71.0,3.0,59.0,0,.22-caliber Daisy rifle,,35.034044,-78.762384,93.86,9,12,690.0,Cumberland County,37,37051,41.0,3.7,11.1,57.2,18.6,80.0,66.5,9.2,22.5,40.7,86.904463027
130,481168000648,Cummings Middle School,4811680.0,Brownsville ISD,1/4/2012,2011-2012,2012,8:00 AM,Wednesday,Brownsville,Texas,public,746,1,0,1,targeted,,m,,police officer,0.0,,,,,,,,3.0,0.0,742.0,0.0,1.0,0.0,0.0,0,,department issued,25.913899,-97.493734,49.47,6,8,0.0,Cameron County,48,48061,12.0,3.3,17.2,88.1,36.6,83.2,42.79138827,11.2,48.5,34.12462227,58.330164147
131,483306003674,North Forest High School,4833060.0,North Forest ISD,1/10/2012,2011-2012,2012,12:30 PM,Tuesday,Houston,Texas,public,1274,0,1,1,targeted,18.0,m,,student,0.0,,,,,,,,8.0,868.0,395.0,0.0,2.0,1.0,0.0,1,handgun ,,29.868788000000002,-95.26259,88.68,9,12,1271.0,Harris County,48,48201,11.0,3.1,17.1,63.0,28.6,81.0,53.231493134,8.5,27.1,33.839235932,84.10788117
132,330299000122,Walpole Elementary School,3302990.0,Fall Mountain Regional School District,2/10/2012,2011-2012,2012,11:00 AM,Friday,Walpole,New Hampshire,public,149,0,0,0,public suicide (attempted),14.0,m,,student,0.0,,,,,,,,139.0,0.0,5.0,1.0,1.0,0.0,3.0,0,20-gauge shotgun,,43.078915,-72.426439,15.3,5,8,42.0,Cheshire County,33,33005,42.0,3.3,16.2,17.6,12.7,85.6,58.243235673,5.8,13.4,26.858358584,71.260138374
133,530066000135,Armin Jahr Elementary School,5300660.0,Bremerton School District,2/22/2012,2011-2012,2012,1:30 PM,Wednesday,Bremerton,Washington,public,411,0,1,1,accidental,9.0,m,w,student,0.0,,,,,,,,193.0,24.0,69.0,19.0,5.0,22.0,79.0,0,.45-caliber handgun,mother,47.593761,-122.63622,25.16,KG,5,310.0,Kitsap County,53,53035,13.0,3.4,17.2,30.5,13.2,87.3,68.348579371,7.9,14.9,27.179405351,76.292914765
134,390471802789,Chardon High School,3904718.0,Chardon Local,2/27/2012,2011-2012,2012,7:30 AM,Monday,Chardon,Ohio,public,1058,3,3,6,indiscriminate,17.0,m,w,"student at neighboring school, rode bus with some victims",0.0,,,,,,,,1028.0,5.0,9.0,4.0,4.0,0.0,8.0,0,Ruger MK III .22-caliber semiautomatic handgun,uncle,41.591297,-81.199958,58.0,9,12,193.0,Geauga County,39,39055,31.0,3.1,21.0,9.6,11.9,91.1,64.555741615,7.6,12.1,16.080219514,65.778155581
135,00259508,Episcopal School of Jacksonville,,,3/6/2012,2011-2012,2012,1:15 PM,Tuesday,Jacksonville,Florida,private,869,1,0,1,targeted,28.0,m,w,fired teacher,1.0,suicide,,,,,,,753.0,44.0,25.0,5.0,3.0,0.0,39.0,0,AK-47-style semiautomatic rifle,legally purchased at gun show,30.308616999999998,-81.617917,92.8,6,12,,Duval County,12,12031,11.0,3.5,17.9,53.7,19.7,66.6,61.463715679,11.7,23.5,39.015503077,105.026749
136,010237000962,LeFlore High School,102370.0,Mobile County,3/15/2012,2011-2012,2012,10:50 AM,Thursday,Mobile,Alabama,public,921,0,0,0,targeted,16.0,m,b,suspended student from different campus,0.0,,15.0,m,,,0.0,,5.0,912.0,2.0,0.0,1.0,0.0,1.0,0,handgun,,30.714209000000004,-88.086526,56.0,8,12,774.0,Mobile County,1,1097,12.0,4.5,14.2,61.1,17.2,65.2,54.328833914,10.2,28.9,41.533440821,96.790277954
137,370072002474,Mary Scroggs Elementary School,3700720.0,Chapel Hill-Carrboro Schools,5/25/2012,2011-2012,2012,2:00 PM,Friday,Chapel Hill,North Carolina,public,614,1,0,1,targeted,49.0,m,,parent of student,0.0,,,,,,,,325.0,32.0,106.0,66.0,1.0,0.0,84.0,0,Charter Arms .44 Bulldog revolver,,35.879121999999995,-79.068506,42.73,KG,5,135.0,Orange County,37,37135,13.0,2.8,16.0,12.5,14.2,86.3,76.800624737,6.5,17.4,24.835988754,308.6978777
138,240012000446,Perry Hall High School,2400120.0,Baltimore County Public Schools,8/27/2012,2012-2013,2012,10:45 AM,Monday,Baltimore,Maryland,public,2209,0,1,1,indiscriminate,15.0,m,w,student,0.0,,,,,,,,1361.0,508.0,79.0,213.0,2.0,1.0,45.0,1,shotgun,,39.39186,-76.466091,129.6,9,12,550.0,Baltimore County,24,24005,21.0,3.6,15.2,27.1,11.9,80.0,68.37178265,8.0,11.0,34.715674888,148.8989846
139,172862003002,Normal Community High School,1728620.0,Mclean County USD 5,9/7/2012,2012-2013,2012,8:00 AM,Friday,Normal,Illinois,public,1895,0,0,0,indiscriminate,14.0,m,w,student,0.0,,,,,,,,1314.0,196.0,145.0,124.0,8.0,5.0,103.0,0,.22-caliber Ruger handgun,,40.533285,-88.914486,164.0,9,12,409.0,Mclean County,17,17113,41.0,2.6,13.8,19.3,9.9,84.9,75.911449482,7.7,10.3,25.692701938,64.020873221
140,090291000617,Sandy Hook Elementary School,902910.0,Newtown School District,12/14/2012,2012-2013,2012,9:35 AM,Friday,Newtown,Connecticut,public,454,26,2,28,indiscriminate,20.0,m,w,former student,1.0,suicide,,,,,,,389.0,15.0,22.0,23.0,0.0,0.0,5.0,0,Bushmaster XM15-E2S semiautomatic rifle,mother,41.419779999999996,-73.277751,35.76,KG,4,23.0,Fairfield County,9,9001,22.0,2.8,19.7,20.3,11.4,82.0,68.473920639,8.3,10.8,23.017333845,135.28607414
141,A0300763,Apostolic Revival Center and Christian School,,,1/7/2013,2012-2013,2013,11:00 AM,Monday,Fort Myers,Florida,private,22,1,0,1,targeted,,,,,0.0,,,,,,,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0,,,26.640620000000002,-81.834212,3.0,PK,7,,Lee County,12,12071,13.0,4.0,18.3,46.990263913,27.2,68.9,52.23993162,11.1,25.9,34.631793422,61.89056
142,063873006511,Taft Union High School,638730.0,Taft Union High,1/10/2013,2012-2013,2013,9:00 AM,Thursday,Taft,California,public,939,0,2,2,targeted,16.0,m,w,student,0.0,,,,,,,,487.0,9.0,384.0,6.0,22.0,12.0,19.0,0,12-gauge shotgun,older brother,35.146256,-119.46038300000001,62.89,9,12,502.0,Kern County,6,6029,32.0,4.1,15.8,64.61905786,23.4,79.092256102,43.142526011,14.9,34.6,36.424530455,49.47717
143,130012000060,Price Middle School,1300120.0,Atlanta Public Schools,1/31/2013,2012-2013,2013,1:50 PM,Thursday,Atlanta,Georgia,public,403,0,1,1,targeted,15.0,m,,student,0.0,,,,,,,,0.0,380.0,20.0,0.0,0.0,0.0,3.0,1,small-caliber handgun,,33.708771999999996,-84.38744200000001,36.0,6,8,384.0,Fulton County,13,13121,11.0,2.8,17.2,45.892921378,22.9,63.829243144,74.736025954,10.5,27.0,41.356989287,108.43269
144,1056711,La Salle High School,,,4/29/2013,2012-2013,2013,8:00 AM,Monday,Cincinnati ,Ohio,private,708,0,0,0,public suicide,17.0,m,,student ,0.0,,,,,,,,613.0,71.0,4.0,3.0,0.0,0.0,17.0,0,.45-caliber semiautomatic handgun,family member,39.189161999999996,-84.586704,40.1,9,12,,Hamilton County,39,39061,21.0,4.0,20.0,44.477213884,14.2,79.3,66.367523217,8.6,27.7,41.470324528,104.37086
145,120039000578,Redland Middle School,1200390.0,Dade,5/23/2013,2012-2013,2013,,Thursday,Homestead,Florida,public,493,0,1,1,accidental,11.0,m,,student,0.0,,,,,,,,44.0,185.0,257.0,3.0,0.0,0.0,4.0,0,.38-caliber handgun,,25.5369,-80.453001,30.0,6,8,448.0,Miami-Dade County,12,12086,41.0,3.3,12.6,34.071723942,35.8,71.3,57.001974604,11.3,28.9,38.992541107,79.14394999999999
146,130174003766,Ronald E. McNair Discovery Learning Academy,1301740.0,Dekalb County,8/20/2013,2013-2014,2013,12:51 PM,Tuesday,Decatur,Georgia,public,822,0,0,0,targeted and indiscriminate,20.0,m,w,none,0.0,,,,,,,,9.0,786.0,23.0,0.0,0.0,0.0,4.0,0,.762-caliber AK-47-style semiautomatic rifle manufactured by Romarm/Cugar,acquaintence of shooter,33.7273,-84.3068,47.8,PK,5,810.0,Dekalb County,13,13089,21.0,3.0,14.3,47.47960138,25.8,59.464267352,68.862367848,10.1,28.8,45.614480711,92.37102
147,370150000592,Carver High School,3701500.0,Winston Salem/Forsyth County Schools,8/30/2013,2013-2014,2013,2:25 PM,Friday,Winston-Salem,North Carolina,public,565,0,1,1,targeted,18.0,m,b,student,0.0,,,,,,,,23.0,411.0,96.0,4.0,2.0,1.0,28.0,1,.38-caliber handgun,,36.1343,-80.2066,43.01,9,12,502.0,Forsyth County,37,37067,12.0,3.1,12.5,45.493207324,18.6,80.906313646,62.547367965,10.0,28.0,37.367801187,97.89887000000002
148,A0300751,Agape Christian Academy,,,10/4/2013,2013-2014,2013,2:00 PM,Friday,Pine Hills,Florida,private,331,0,2,2,targeted,,,,none,0.0,,,,,,,,3.0,259.0,4.0,0.0,0.0,65.0,0.0,0,,,28.57586,-81.47505100000001,22.0,KG,12,,Orange County,12,12095,21.0,3.3,16.6,38.994249011,24.7,71.4,64.483830231,10.3,25.8,37.847743796,72.16307
149,480894000327,Lanier High School,4808940.0,Austin ISD,10/15/2013,2013-2014,2013,12:04 PM,Tuesday,Austin,Texas,public,1554,0,0,0,public suicide,16.0,m,h,student ,1.0,suicide,,,,,,,61.0,138.0,1273.0,51.0,15.0,0.0,16.0,0,handgun,,30.3606,-97.708,108.34,9,12,613.0,Travis County,48,48453,11.0,3.2,22.3,49.36102599,22.7,81.4,70.16176122,6.6,24.1,32.643432758,78.69294000000001
150,320048000247,Sparks Middle School,3200480.0,Washoe County School District,10/21/2013,2013-2014,2013,7:15 AM,Monday,Sparks,Nevada,public,721,1,2,3,indiscriminate,12.0,m,h,student,1.0,suicide,,,,,,,146.0,13.0,501.0,26.0,4.0,9.0,22.0,0,Ruger SR9C 9mm semiautomatic handgun,father,39.5517,-119.7694,35.0,7,8,538.0,Washoe County,32,32031,21.0,3.6,21.2,42.792078195,24.6,70.0,59.546344067,13.1,18.2,32.352700825,71.03484
151,060846000845,Newman Elementary School,608460.0,Chino Valley Unified,10/23/2013,2013-2014,2013,11:14 AM,Wednesday,Chino,California,public,745,0,3,3,accidental,,m,,,0.0,,,,,,,,75.0,17.0,627.0,21.0,0.0,0.0,5.0,0,AR-15-style semiautomatic rifle,police weapon,34.0271,-117.7144,25.5,KG,6,543.0,San Bernardino County,6,6071,13.0,4.1,17.2,47.312104541,22.5,79.796023754,51.160109448,13.2,26.2,33.333501854,53.52525
152,120144001454,West Orange High School,1201440.0,Orange,12/4/2013,2013-2014,2013,1:15 PM,Wednesday,Winter Garden,Florida,public,3749,0,1,1,targeted,17.0,m,b,student,0.0,,,,,,,,1927.0,594.0,898.0,211.0,28.0,11.0,80.0,0,,,28.5428,-81.5673,158.0,9,12,1255.0,Orange County,12,12095,21.0,3.3,16.6,38.994249011,24.7,71.4,64.483830231,10.3,25.8,37.847743796,72.16307
153,080531000873,Arapahoe High School,805310.0,"Littleton, School District No. 6, In The County Of Arapahoe",12/13/2013,2013-2014,2013,12:30 PM,Friday,Centennial,Colorado,public,2273,1,0,1,targeted,18.0,m,w,student,1.0,suicide,,,,,,,1879.0,26.0,225.0,57.0,9.0,3.0,74.0,1,Savage Arms Stevens Model 320 pump-action shotgun,legally purchased by shooter at Cabela's,39.5817,-104.9628,98.96,9,12,200.0,Arapahoe County,8,8005,21.0,3.2,17.2,36.614763688,18.3,71.404997643,68.454325597,8.2,16.4,29.811924213,79.14021
154,470258002032,Liberty Technology Magnet High School,4702580.0,Madison County,1/9/2014,2013-2014,2014,2:21 PM,Thursday,Jackson,Tennessee,public,802,0,1,1,targeted,16.0,m,b,student,0.0,,,,,,,,275.0,503.0,15.0,2.0,2.0,0.0,5.0,0,handgun,,35.675,-88.7593,60.3,9,12,561.0,Madison County,47,47113,41.0,3.1,9.8,48.511134599,16.629938321,90.0,56.075378943,8.1947432984,26.6,42.01756652,137.39759
155,350225000506,Berrendo Middle School,3502250.0,Roswell Independent Schools,1/14/2014,2013-2014,2014,7:30 AM,Tuesday,Roswell,New Mexico,public,632,0,3,3,targeted,12.0,m,w,student,0.0,,,,,,,,311.0,6.0,302.0,9.0,1.0,2.0,1.0,1,shotgun,,33.4736,-104.5115,36.5,6,8,365.0,Chaves County,35,35005,41.0,3.6,15.3,72.363270328,26.079610486,74.597159091,52.448563728,6.5670961122,30.2,38.594727435,74.36637
156,421314005056,King Elementary School,4213140.0,Lancaster SD,1/15/2014,2013-2014,2014,2:48 PM,Wednesday,Lancaster,Pennsylvania,public,540,0,0,0,unclear,,,,,0.0,,,,,,,,20.0,69.0,425.0,7.0,0.0,0.0,19.0,0,handgun,,40.0344,-76.2998,40.2,PK,5,498.0,Lancaster County,42,42071,13.0,3.2,14.5,27.103003636,14.248360607,88.336142151,51.987247099,6.6308537075,17.2,21.848588102,75.44013
157,420007800563,Delaware Valley Charter School,4200078.0,Delaware Valley CHS,1/17/2014,2013-2014,2014,3:20 PM,Friday,Philadelphia,Pennsylvania,public,680,0,2,2,accidental or targeted,17.0,m,b,student,0.0,,,,,,,,0.0,675.0,5.0,0.0,0.0,0.0,0.0,1,handgun,purchased from friend,40.0331,-75.1446,42.0,9,12,512.0,Philadelphia County,42,42101,11.0,4.6,17.2,55.594939862,16.257275268,59.013808793,55.785197607,10.789075442,37.0,59.023007465,66.77640000000001
158,,Rebound High School,1708370.0,Carbondale CHSD 165,1/27/2014,2013-2014,2014,12:00 PM,Monday,Carbondale,Illinois,public,100,0,1,1,targeted,18.0,m,b,student,0.0,,,,,,,,,,,,,,,0,handgun,,37.727439000000004,-89.227812,,9,12,,Jackson County,17,17077,13.0,4.5,14.7,24.478118046,14.783040413,89.635379061,76.6521348,7.6461194507,31.0,39.07641131,109.33487999999998
159,150003000186,President Theodore Roosevelt High,1500030.0,Hawaii Department Of Education,1/28/2014,2013-2014,2014,8:30 AM,Tuesday,Honolulu,Hawaii,public,1416,0,1,1,targeted,,,,police officer,0.0,,,,,,,,72.0,17.0,36.0,846.0,6.0,338.0,97.0,0,,department issued,21.3104,-157.8372,77.0,9,12,588.0,Honolulu County,15,15003,11.0,2.7,18.7,33.034525253,7.253072609,80.536247099,70.049782345,5.1640865521,15.3,27.784099366,87.69135
160,410198000270,Bend High School,4101980.0,Bend-Lapine Administrative SD 1,2/7/2014,2013-2014,2014,12:00 PM,Friday,Bend,Oregon,public,1642,0,0,0,public suicide,17.0,m,,student ,1.0,suicide,,,,,,,1368.0,21.0,180.0,25.0,23.0,4.0,21.0,0,hunting rifle,legally owned by shooter,44.0523,-121.2959,62.77,9,12,1368.0,Deschutes County,41,41017,13.0,3.2,16.8,30.097886744,17.637025837,64.008691674,69.445249131,11.267785526,21.7,24.785470299,96.67078
161,370405002253,Salisbury High School,3704050.0,Rowan-Salisbury Schools,2/10/2014,2013-2014,2014,2:41 PM,Monday,Salisbury,North Carolina,public,858,0,1,1,targeted,17.0,m,b,,0.0,,,,,,,,274.0,399.0,140.0,22.0,5.0,0.0,18.0,0,9mm gun (type unknown),,35.6648,-80.4849,54.53,9,12,577.0,Rowan County,37,37159,22.0,4.2,10.1,51.376836565,19.364480101,77.0,51.989579755,9.9258040222,27.2,36.563219106,43.472280000000005
162,291640003220,Success Academy,2916400.0,Kansas City 33,2/20/2014,2013-2014,2014,10:30 AM,Thursday,Raytown,Missouri,public,175,1,0,1,targeted,42.0,m,b,father of student,0.0,,,,,,,,,,,,,,,0,.45-caliber handgun ,legally purchased at pawn shop that morning,39.094,-94.5688,28.4,KG,12,,Jackson County,29,29095,11.0,3.8,15.4,53.545910684,18.036285103,72.874030552,63.382973683,7.6796021454,27.3,42.987542162,75.10793
163,130228000967,Benjamin Banneker High School,1302280.0,Fulton County,3/25/2014,2013-2014,2014,1:00 PM,Tuesday,College Park,Georgia,public,1537,0,0,0,targeted,,,,,0.0,,,,,,,,3.0,1483.0,41.0,2.0,1.0,0.0,7.0,0,,,33.593,-84.5176,100.7,9,12,1376.0,Fulton County,13,13121,21.0,2.7,17.9,44.167862505,22.400718323,63.838627049,75.356402541,9.6296152552,25.9,41.302809668,96.25115000000001
164,370001201495,D. H. Conley High School,3700012.0,Pitt County Schools,4/9/2014,2013-2014,2014,1:30 PM,Wednesday,Greenville,North Carolina,public,1591,0,0,0,indiscriminate,17.0,m,b,student at rival school,0.0,,17.0,m,w,student at rival school,0.0,,973.0,395.0,138.0,27.0,5.0,0.0,53.0,0,.45-caliber handgun,,35.5306,-77.3248,87.89,9,12,528.0,Pitt County,37,37147,41.0,3.2,12.7,28.995494302,16.944598226,70.0,68.998190864,9.3104721827,29.9,44.614306129,98.75301999999999
165,411052001009,Reynolds High School,4110520.0,Reynolds SD 7,6/10/2014,2013-2014,2014,8:07 AM,Tuesday,Troutdale,Oregon,public,2806,1,1,2,indiscriminate,15.0,m,w,student,1.0,suicide,,,,,,,1208.0,231.0,917.0,263.0,21.0,41.0,125.0,1,AR-15-style semiautomatic rifle,brother,45.5285,-122.4026,106.78,9,12,1744.0,Multnomah County,41,41051,21.0,3.2,19.2,33.09182648,18.647145735,62.752285319,73.533404072,7.7510714542,24.1,32.776363393,126.59903
166,120039005495,Stellar Leadership Academy,1200390.0,Dade,9/9/2014,2014-2015,2014,,Tuesday,Miami,Florida,public,233,0,1,1,targeted,,,,,0.0,,,,,,,,0.0,204.0,29.0,0.0,0.0,0.0,0.0,0,,,25.84814,-80.243461,13.0,9,12,62.0,Miami-Dade County,12,12086,21.0,3.3,12.4,32.403740459,34.422301279,70.986166974,57.406042022,9.2770143119,29.7,39.458981404,78.44163
167,210299000628,Fern Creek High School,2102990.0,Jefferson County,9/30/2014,2014-2015,2014,1:00 PM,Tuesday,Louisville,Kentucky,public,1545,0,1,1,targeted,16.0,m,b,student,0.0,,,,,,,,716.0,577.0,136.0,73.0,1.0,1.0,41.0,1,handgun ,,38.156605,-85.59235699999999,82.9,9,12,930.0,Jefferson County,21,21111,11.0,3.8,15.0,47.247683509,16.557490387,69.426104622,67.833221451,8.5574906787,26.0,42.308147307,90.90836
168,370432000022,Albemarle High School,3704320.0,Stanly County Schools,9/30/2014,2014-2015,2014,7:40 AM,Tuesday,Albemarle,North Carolina,public,464,0,1,1,targeted,15.0,m,,student,0.0,,,,,,,,199.0,180.0,30.0,23.0,3.0,0.0,29.0,1,handgun,,35.371268,-80.193152,34.66,9,12,327.0,Stanly County,37,37167,32.0,5.5,14.5,50.105857445,18.266566905,79.230077121,55.99112426,9.6220712963,25.4,32.134416544,42.885889999999996
169,530486003317,Marysville Pilchuck High School,5304860.0,Marysville School District,10/24/2014,2014-2015,2014,10:39 AM,Friday,Marysville,Washington,public,1253,4,1,5,targeted,15.0,m,ai,student,1.0,suicide,,,,,,,736.0,25.0,250.0,46.0,77.0,1.0,118.0,1,.40-caliber Beretta Px4 Storm semiautomatic handgun,father,48.09582,-122.154021,55.3,9,12,532.0,Snohomish County,53,53061,22.0,3.6,18.4,22.756938091,14.762106017,80.198903032,67.666269042,7.7763223295,13.4,26.058354074,52.325579999999995
